Actual Price,Predicted Price
459000.0,651834.5653065443
445000.0,514970.5653065443
1057000.0,794330.5653065443
732350.0,702746.5653065443
235000.0,213434.5653065443
555000.0,656218.5653065443
365000.0,555866.5653065443
685000.0,874010.5653065443
525000.0,467690.5653065443
449950.0,607194.5653065443
280000.0,310682.5653065443
428000.0,556602.5653065443
575000.0,626490.5653065443
313100.0,363002.5653065443
637500.0,552250.5653065443
732000.0,1021274.5653065443
400000.0,388634.5653065443
829000.0,875930.5653065443
469500.0,576138.5653065443
537000.0,422074.5653065443
224000.0,203802.5653065443
597500.0,652346.5653065443
1059000.0,1379994.5653065443
720000.0,895546.5653065443
569950.0,392794.5653065443
576925.0,769562.5653065443
285000.0,390074.5653065443
235000.0,165546.5653065443
280000.0,395466.5653065443
440000.0,535178.5653065443
810000.0,1097818.5653065443
625000.0,616858.5653065443
218500.0,195690.5653065443
1264000.0,901658.5653065443
415000.0,643242.5653065443
230000.0,177706.5653065443
246900.0,181706.5653065443
282000.0,447050.5653065443
400000.0,457930.5653065443
638250.0,716762.5653065443
470000.0,447514.5653065443
421500.0,606106.5653065443
543500.0,593466.5653065443
320000.0,449242.5653065443
764000.0,510314.5653065443
130000.0,151690.5653065443
600000.0,941530.5653065443
823000.0,614330.5653065443
403000.0,611690.5653065443
359800.0,479610.5653065443
367950.0,561850.5653065443
1650000.0,1233530.5653065443
212000.0,167978.5653065443
585083.0,697306.5653065443
153000.0,371786.5653065443
1110000.0,744026.5653065443
1200000.0,1169946.5653065443
771000.0,751098.5653065443
914600.0,1091418.5653065443
309950.0,262538.5653065443
595000.0,501882.5653065443
850000.0,851354.5653065443
490000.0,628410.5653065443
180000.0,155242.5653065443
580000.0,772602.5653065443
535000.0,561370.5653065443
395000.0,583898.5653065443
403000.0,336218.5653065443
408000.0,514586.5653065443
435000.0,683802.5653065443
459950.0,632666.5653065443
553000.0,374098.5653065443
397000.0,390890.5653065443
700000.0,390090.5653065443
1350000.0,1275162.5653065443
1311000.0,944154.5653065443
775000.0,713114.5653065443
257500.0,161162.5653065443
540000.0,392218.5653065443
820000.0,959898.5653065443
659000.0,597370.5653065443
